status,official_name,ocr_input,note
exact,"Teferi, Time Raveler","Teferi, Time Raveler",
corrected,Raffine's Tower,Raffine s Tower,corrected from: Raffine s Tower
exact,Ancient Tomb,Ancient Tomb,
exact,Get Lost,Get Lost,
exact,Shadowy Backstreet,Shadowy Backstreet,
exact,Fractured Identity,Fractured Identity,
exact,Underworld Breach,Underworld Breach,
exact,Yawgmoth's Will,Yawgmoth's Will,
exact,Force of Will,Force of Will,
exact,Balance,Balance,
corrected,Tishana's Tidebinder,Tishana s Tidebinder,corrected from: Tishana s Tidebinder
exact,Shelldock Isle,Shelldock Isle,
exact,Brain Freeze,Brain Freeze,
exact,Hallowed Fountain,Hallowed Fountain,
exact,Mystic Confluence,Mystic Confluence,
exact,Imperial Seal,Imperial Seal,
exact,Stock Up,Stock Up,
exact,"Teferi, Hero of Dominaria","Teferi, Hero of Dominaria",
exact,Novice Inspector,Novice Inspector,
exact,Steam Vents,Steam Vents,
exact,"Beza, the Bounding Spring","Beza, the Bounding Spring",
exact,Brainstorm,Brainstorm,
exact,Timetwister,Timetwister,
exact,Consider,Consider,
exact,"Tamiyo, Inquisitive Student","Tamiyo, Inquisitive Student",
exact,Preordain,Preordain,
corrected,Lion's Eye Diamond,Lion s Eye Diamond,corrected from: Lion s Eye Diamond
exact,Sol Ring,Sol Ring,
corrected,LÃ³rien Revealed,Lorien Revealed,corrected from: Lorien Revealed
exact,Mox Ruby,Mox Ruby,
exact,Scalding Tarn,Scalding Tarn,
exact,Mishra's Bauble,Mishra's Bauble,
exact,Elegant Parlor,Elegant Parlor,
exact,Marsh Flats,Marsh Flats,
unmatched,,Land,no match found
unmatched,,Land Mountain Plains,no match found
unmatched,,:Add ? 0r #,no match found
unmatched,,Land,no match found
unmatched,,"Search your Pay life, Sacrifice Scalding Tarn: library for an Island",no match found
unmatched,,Elegant Parlor enters the battlefield,no match found
unmatched,,"or Mountain card, put it onto the",no match found
unmatched,,tapped.,no match found
unmatched,,"battlefield, then shuffle your library.",no match found
unmatched,,When Elegant Parlor enters the,no match found
unmatched,,"battlefield, surveil 1; (Look at the top",no match found
unmatched,,"Search your Pay life, Sacrifice Marsh library for a Plains Flats:",no match found
unmatched,,card of your library You may put it into,no match found
unmatched,,"Swamp card, put it onto the",no match found
unmatched,,your graveyard ),no match found
unmatched,,MnjkAutolill cum,no match found
unmatched,,Ndpe,no match found
unmatched,,"battlefield, then shuffle your library.",no match found
unmatched,,NkhTEN,no match found
unmatched,,2021 Customn Proty,no match found
